Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Black Box Age
0,3600360,2540.0,2866.274303108831,0.0000,1,1
0,3609360,74700.0,74701.64551005741,0.2709,2,25
0,3620880,95809.0,95844.76896991563,0.2713,3,32
0,3631680,89687.0,89881.81950752683,0.2856,4,30
0,3637080,44865.0,44946.871086297026,0.2765,5,15
0,3646440,77884.0,77905.44839276491,0.2623,6,26
0,3658680,101651.0,101894.98152713242,0.2806,7,34
0,3668400,80797.0,80925.56038449549,0.2845,8,27
0,3677760,77729.0,77937.69111987384,0.2868,9,26
0,3692520,122749.0,122900.65493626903,0.2711,10,41
0,3702240,80882.0,80943.85182934505,0.2938,11,27
0,3711960,80927.0,80949.66180758139,0.2797,12,27
0,3722400,86698.0,86964.99142911253,0.2660,13,29
0,3731760,77852.0,77970.95175540376,0.3159,14,26
0.0100000000000000002,3600360,2540.0,2866.274303108831,0.0000,1,1
0.0100000000000000002,3609360,74700.0,74701.64551005741,0.2709,2,25
0.0100000000000000002,3620880,95809.0,95844.76896991563,0.2713,3,32
0.0100000000000000002,3631680,89687.0,89881.81950752683,0.2856,4,30
0.0100000000000000002,3637080,44865.0,44946.871086297026,0.2765,5,15
0.0100000000000000002,3646440,77884.0,77905.44839276491,0.2623,6,26
0.0100000000000000002,3658680,101651.0,101894.98152713242,0.2806,7,34
0.0100000000000000002,3668400,80797.0,80925.56038449549,0.2845,8,27
0.0100000000000000002,3677760,77729.0,77937.69111987384,0.2868,9,26
0.0100000000000000002,3692520,122749.0,122900.65493626903,0.2711,10,41
0.0100000000000000002,3702240,80882.0,80943.85182934505,0.2938,11,27
0.0100000000000000002,3711960,80927.0,80949.66180758139,0.2797,12,27
0.0100000000000000002,3722400,86698.0,86964.99142911253,0.2660,13,29
0.0100000000000000002,3731760,77852.0,77970.95175540376,0.3159,14,26
0.0200000000000000004,3600360,2540.0,2866.274303108831,0.0000,1,1
0.0200000000000000004,3609360,74700.0,74701.64551005741,0.2709,2,25
0.0200000000000000004,3620880,95809.0,95844.76896991563,0.2713,3,32
0.0200000000000000004,3631680,89687.0,89881.81950752683,0.2856,4,30
0.0200000000000000004,3637080,44865.0,44946.871086297026,0.2765,5,15
0.0200000000000000004,3646440,77884.0,77905.44839276491,0.2623,6,26
0.0200000000000000004,3658680,101651.0,101894.98152713242,0.2806,7,34
0.0200000000000000004,3668400,80797.0,80925.56038449549,0.2845,8,27
0.0200000000000000004,3677760,77729.0,77937.69111987384,0.2868,9,26
0.0200000000000000004,3692520,122749.0,122900.65493626903,0.2711,10,41
0.0200000000000000004,3702240,80882.0,80943.85182934505,0.2938,11,27
0.0200000000000000004,3711960,80927.0,80949.66180758139,0.2797,12,27
0.0200000000000000004,3722400,86698.0,86964.99142911253,0.2660,13,29
0.0200000000000000004,3731760,77852.0,77970.95175540376,0.3159,14,26
0.0299999999999999989,3600360,2540.0,2866.274303108831,0.0000,1,1
0.0299999999999999989,3609360,74700.0,74701.64551005741,0.2709,2,25
0.0299999999999999989,3620880,95809.0,95844.76896991563,0.2713,3,32
0.0299999999999999989,3631680,89687.0,89881.81950752683,0.2856,4,30
0.0299999999999999989,3637080,44865.0,44946.871086297026,0.2765,5,15
0.0299999999999999989,3646440,77884.0,77905.44839276491,0.2623,6,26
0.0299999999999999989,3658680,101651.0,101894.98152713242,0.2806,7,34
0.0299999999999999989,3668400,80797.0,80925.56038449549,0.2845,8,27
0.0299999999999999989,3677760,77729.0,77937.69111987384,0.2868,9,26
0.0299999999999999989,3692520,122749.0,122900.65493626903,0.2711,10,41
0.0299999999999999989,3702240,80882.0,80943.85182934505,0.2938,11,27
0.0299999999999999989,3711960,80927.0,80949.66180758139,0.2797,12,27
0.0299999999999999989,3722400,86698.0,86964.99142911253,0.2660,13,29
0.0299999999999999989,3731760,77852.0,77970.95175540376,0.3159,14,26
0.04000000000000000083,3600360,2540.0,2866.274303108831,0.0000,1,1
0.04000000000000000083,3609360,74700.0,74701.64551005741,0.2709,2,25
0.04000000000000000083,3620880,95809.0,95844.76896991563,0.2713,3,32
0.04000000000000000083,3631320,86903.0,86876.16699579277,0.2678,4,29
0.04000000000000000083,3637440,50834.0,50939.82269112551,0.3031,5,17
0.04000000000000000083,3648960,95830.0,95884.24652970923,0.2905,6,32
0.04000000000000000083,3657240,68829.0,68928.38490533739,0.2698,7,23
0.04000000000000000083,3665880,71802.0,71934.35559117123,0.2978,8,24
0.04000000000000000083,3676320,86887.0,86918.40925007795,0.2744,9,29
0.04000000000000000083,3688920,104856.0,104911.37392547617,0.2776,10,35
0.04000000000000000083,3700440,95826.0,95931.06452727455,0.2638,11,32
0.04000000000000000083,3710520,83955.0,83944.66518535366,0.2693,12,28
0.04000000000000000083,3722400,98939.0,98944.38825556778,0.2398,13,33
0.04000000000000000083,3731760,77852.0,77970.82782593089,0.3158,14,26
0.0500000000000000028,3600360,2540.0,2866.274303108831,0.0000,1,1
0.0500000000000000028,3609360,74700.0,74701.64551005741,0.2709,2,25
0.0500000000000000028,3620880,95809.0,95844.76896991563,0.2713,3,32
0.0500000000000000028,3631320,86903.0,86876.16699579277,0.2678,4,29
0.0500000000000000028,3637440,50834.0,50939.82269112551,0.3031,5,17
0.0500000000000000028,3648960,95830.0,95884.24652970923,0.2905,6,32
0.0500000000000000028,3657240,68829.0,68928.38490533739,0.2698,7,23
0.0500000000000000028,3665880,71802.0,71934.35559117123,0.2978,8,24
0.0500000000000000028,3676320,86887.0,86918.40925007795,0.2744,9,29
0.0500000000000000028,3688920,104856.0,104911.37392547617,0.2776,10,35
0.0500000000000000028,3700440,95826.0,95931.06452727455,0.2638,11,32
0.0500000000000000028,3710520,83955.0,83944.66518535366,0.2693,12,28
0.0500000000000000028,3722400,98939.0,98944.38825556778,0.2398,13,33
0.0500000000000000028,3731760,77852.0,77970.82782593089,0.3158,14,26
0.0599999999999999978,3600360,2540.0,2866.274303108831,0.0000,1,1
0.0599999999999999978,3609360,74700.0,74701.64551005741,0.2709,2,25
0.0599999999999999978,3620880,95809.0,95844.76896991563,0.2713,3,32
0.0599999999999999978,3631320,86903.0,86876.16699579277,0.2678,4,29
0.0599999999999999978,3637080,47964.0,47937.788562359914,0.2682,5,16
0.0599999999999999978,3646440,77884.0,77905.42247157103,0.2623,6,26
0.0599999999999999978,3658320,98932.0,98885.44279728291,0.2636,7,33
0.0599999999999999978,3665160,56936.0,56944.62515405667,0.2924,8,19
0.0599999999999999978,3675960,89959.0,89911.79012774063,0.2668,9,30
0.0599999999999999978,3688920,107952.0,107903.44934562809,0.2616,10,36
0.0599999999999999978,3700440,95826.0,95931.02956142441,0.2638,11,32
0.0599999999999999978,3710520,83955.0,83944.6608669263,0.2693,12,28
0.0599999999999999978,3722400,98939.0,98944.38477986027,0.2398,13,33
0.0599999999999999978,3731760,77852.0,77970.82513787242,0.3158,14,26
0.07000000000000000666,3600360,2540.0,2866.274303108831,0.0000,1,1
0.07000000000000000666,3609360,74700.0,74701.64551005741,0.2709,2,25
0.07000000000000000666,3620880,95809.0,95844.76896991563,0.2713,3,32
0.07000000000000000666,3631320,86903.0,86876.16699579277,0.2678,4,29
0.07000000000000000666,3637080,47964.0,47937.788562359914,0.2682,5,16
0.07000000000000000666,3646440,77884.0,77905.42247157103,0.2623,6,26
0.07000000000000000666,3658320,98932.0,98885.44279728291,0.2636,7,33
0.07000000000000000666,3665160,56936.0,56944.62515405667,0.2924,8,19
0.07000000000000000666,3675960,89959.0,89911.79012774063,0.2668,9,30
0.07000000000000000666,3688920,107952.0,107903.44934562809,0.2616,10,36
0.07000000000000000666,3700440,95826.0,95931.02956142441,0.2638,11,32
0.07000000000000000666,3710520,83955.0,83944.6608669263,0.2693,12,28
0.07000000000000000666,3722400,98939.0,98944.38477986027,0.2398,13,33
0.07000000000000000666,3731760,77852.0,77970.82513787242,0.3158,14,26
0.08000000000000000167,3600360,2540.0,2866.274303108831,0.0000,1,1
0.08000000000000000167,3609360,74700.0,74701.64551005741,0.2709,2,25
0.08000000000000000167,3620880,95809.0,95844.76896991563,0.2713,3,32
0.08000000000000000167,3631320,86903.0,86876.16699579277,0.2678,4,29
0.08000000000000000167,3637080,47964.0,47937.788562359914,0.2682,5,16
0.08000000000000000167,3646440,77884.0,77905.42247157103,0.2623,6,26
0.08000000000000000167,3658320,98932.0,98885.44279728291,0.2636,7,33
0.08000000000000000167,3665160,56936.0,56944.62515405667,0.2924,8,19
0.08000000000000000167,3675960,89959.0,89911.79012774063,0.2668,9,30
0.08000000000000000167,3688920,107952.0,107903.44934562809,0.2616,10,36
0.08000000000000000167,3700440,95826.0,95931.02956142441,0.2638,11,32
0.08000000000000000167,3710520,83955.0,83944.6608669263,0.2693,12,28
0.08000000000000000167,3722400,98939.0,98944.38477986027,0.2398,13,33
0.08000000000000000167,3731760,77852.0,77970.82513787242,0.3158,14,26
0.08999999999999999667,3600360,2540.0,2866.274303108831,0.0000,1,1
0.08999999999999999667,3609360,74700.0,74701.64551005741,0.2709,2,25
0.08999999999999999667,3620880,95809.0,95844.76896991563,0.2713,3,32
0.08999999999999999667,3631320,86903.0,86876.16699579277,0.2678,4,29
0.08999999999999999667,3637080,47964.0,47937.788562359914,0.2682,5,16
0.08999999999999999667,3646440,77884.0,77905.42247157103,0.2623,6,26
0.08999999999999999667,3658320,98932.0,98885.44279728291,0.2636,7,33
0.08999999999999999667,3665160,56936.0,56944.62515405667,0.2924,8,19
0.08999999999999999667,3675960,89959.0,89911.79012774063,0.2668,9,30
0.08999999999999999667,3688920,107952.0,107903.44934562809,0.2616,10,36
0.08999999999999999667,3700440,95826.0,95931.02956142441,0.2638,11,32
0.08999999999999999667,3710520,83955.0,83944.6608669263,0.2693,12,28
0.08999999999999999667,3722400,98939.0,98944.38477986027,0.2398,13,33
0.08999999999999999667,3731760,77852.0,77970.82513787242,0.3158,14,26
